"first_img"	"inquisition_img"	"doc_date"	"parish"	"the_deceased"	"given"	"surname"	"gender"	"verdict"	"cause_of_death"	"deceased_additional_info"	"has_depositions"	"lonlives_url"	"lonlives_document_ref"	"source"
"WACWIC652130585"	"WACWIC652130586"	"1773-09-23"	"St George Hanover Square"	"Ann Cole"	"Ann"	"Cole"	"f"	"natural causes"	"died suddenly"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652130585"	"WACWIC65213"	"Westminster Coroners' Inquests, 1773, Westminster Abbey Muniment Room"
"WACWIC652130593"	"WACWIC652130594"	"1773-09-27"	"St James"	"Edward Condon"	"Edward"	"Condon"	"m"	"accidental"	"fell off a scaffold"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652130593"	"WACWIC65213"	"Westminster Coroners' Inquests, 1773, Westminster Abbey Muniment Room"
"WACWIC652130602"	"WACWIC652130603"	"1773-10-07"	"St John the Evangelist"	"Thomas Gray"	"Thomas"	"Gray"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652130602"	"WACWIC65213"	"Westminster Coroners' Inquests, 1773, Westminster Abbey Muniment Room"
"WACWIC652130611"	"WACWIC652130612"	"1773-10-08"	"St Margaret"	"Sarah Lowen"	"Sarah"	"Lowen"	"f"	"natural causes"	"a fever"	"prisoner, Tothill Fields Bridewell"	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652130611"	"WACWIC65213"	"Westminster Coroners' Inquests, 1773, Westminster Abbey Muniment Room"
"WACWIC652130618"	"WACWIC652130619"	"1773-10-19"	"St Clement Danes"	"William Whitecraft"	"William"	"Whitecraft"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652130618"	"WACWIC65213"	"Westminster Coroners' Inquests, 1773, Westminster Abbey Muniment Room"
"WACWIC652130628"	"WACWIC652130629"	"1773-10-27"	"St Margaret"	"Thomas Tate"	"Thomas"	"Tate"	"m"	"accidental"	"fell out of a window"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652130628"	"WACWIC65213"	"Westminster Coroners' Inquests, 1773, Westminster Abbey Muniment Room"
"WACWIC652130636"	"WACWIC652130637"	"1773-11-02"	"St George Hanover Square"	"William Rampton"	"William"	"Rampton"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652130636"	"WACWIC65213"	"Westminster Coroners' Inquests, 1773, Westminster Abbey Muniment Room"
"WACWIC652130644"	"WACWIC652130645"	"1773-11-04"	"St George Hanover Square"	"Eleanor Dutton"	"Eleanor"	"Dutton"	"f"	"suicide (insane)"	"cut her throat"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652130644"	"WACWIC65213"	"Westminster Coroners' Inquests, 1773, Westminster Abbey Muniment Room"
"WACWIC652130653"	"WACWIC652130654"	"1773-11-15"	"St John the Evangelist"	"Buly Bladen"	"Buly"	"Bladen"	"f"	"natural causes"	""	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652130653"	"WACWIC65213"	"Westminster Coroners' Inquests, 1773, Westminster Abbey Muniment Room"
"WACWIC652130662"	"WACWIC652130663"	"1773-11-20"	"St Martin in the Fields"	"Martha Macarty"	"Martha"	"Macarty"	"f"	"suicide (insane)"	"hanged herself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652130662"	"WACWIC65213"	"Westminster Coroners' Inquests, 1773, Westminster Abbey Muniment Room"
"WACWIC652130671"	"WACWIC652130672"	"1773-11-22"	"St Margaret"	"Thomas Heritage"	"Thomas"	"Heritage"	"m"	"accidental"	"fell off a ladder"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652130671"	"WACWIC65213"	"Westminster Coroners' Inquests, 1773, Westminster Abbey Muniment Room"
"WACWIC652130680"	"WACWIC652130681"	"1773-12-11"	"St Martin in the Fields"	"Gavin Shiells"	"Gavin"	"Shiells"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652130680"	"WACWIC65213"	"Westminster Coroners' Inquests, 1773, Westminster Abbey Muniment Room"
"WACWIC652130689"	"WACWIC652130690"	"1773-12-13"	"St Margaret"	"Edward Gadder"	"Edward"	"Gadder"	"m"	"natural causes"	"a fever"	"prisoner, Tothill Fields Bridewell"	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652130689"	"WACWIC65213"	"Westminster Coroners' Inquests, 1773, Westminster Abbey Muniment Room"
"WACWIC652130697"	"WACWIC652130698"	"1773-12-13"	"St Margaret"	"Margaret Butcher"	"Margaret"	"Butcher"	"f"	"suicide (insane)"	"cut her throat"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652130697"	"WACWIC65213"	"Westminster Coroners' Inquests, 1773, Westminster Abbey Muniment Room"
"WACWIC652130707"	"WACWIC652130709"	"1773-12-14"	"St George Hanover Square"	"Unnamed man"	""	""	"m"	"undetermined"	"found drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652130707"	"WACWIC65213"	"Westminster Coroners' Inquests, 1773, Westminster Abbey Muniment Room"
"WACWIC652130716"	"WACWIC652130717"	"1773-12-16"	"St James"	"John Stockman"	"John"	"Stockman"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652130716"	"WACWIC65213"	"Westminster Coroners' Inquests, 1773, Westminster Abbey Muniment Room"
"WACWIC652130724"	"WACWIC652130725"	"1773-12-20"	"St Margaret"	"John Baker"	"John"	"Baker"	"m"	"accidental"	"a mill stone fell on his leg"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652130724"	"WACWIC65213"	"Westminster Coroners' Inquests, 1773, Westminster Abbey Muniment Room"
"WACWIC652130733"	"WACWIC652130734"	"1773-12-20"	"St James"	"Thomas Webb"	"Thomas"	"Webb"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652130733"	"WACWIC65213"	"Westminster Coroners' Inquests, 1773, Westminster Abbey Muniment Room"
"WACWIC652130741"	"WACWIC652130742"	"1773-12-28"	"St Clement Danes"	"John Rand"	"John"	"Rand"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652130741"	"WACWIC65213"	"Westminster Coroners' Inquests, 1773, Westminster Abbey Muniment Room"
"WACWIC652140002"	"WACWIC652140003"	"1774-01-03"	"St George Hanover Square"	"Joseph Wilcox"	"Joseph"	"Wilcox"	"m"	"accidental"	"fell into a ditch, inclemency of the weather"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140002"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140008"	"WACWIC652140009"	"1774-01-04"	"St Margaret"	"William Edwards"	"William"	"Edwards"	"m"	"natural causes"	""	"prisoner, Tothill Fields Bridewell"	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140008"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140013"	"WACWIC652140014"	"1774-01-06"	"St George Hanover Square"	"William Mills"	"William"	"Mills"	"m"	"accidental"	"fell down and was run over by a chariot"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140013"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140021"	"WACWIC652140022"	"1774-01-08"	"St Martin in the Fields"	"John Simpson"	"John"	"Simpson"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140021"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140030"	"WACWIC652140031"	"1774-01-10"	"St George Hanover Square"	"Dodington Montagu"	"Dodington"	"Montagu"	"f"	"accidental"	"burnt"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140030"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140040"	"WACWIC652140041"	"1774-02-04"	"St George Hanover Square"	"James Sanders"	"James"	"Sanders"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140040"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140048"	"WACWIC652140049"	"1774-02-07"	"St George Hanover Square"	"Edward Miller"	"Edward"	"Miller"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140048"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140056"	"WACWIC652140057"	"1774-02-08"	"St James"	"Edmund Baker"	"Edmund"	"Baker"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140056"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140063"	"WACWIC652140064"	"1774-02-09"	"St Martin in the Fields"	"Unnamed man"	""	""	"m"	"suicide (insane)"	"shot himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140063"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140072"	"WACWIC652140073"	"1774-02-11"	"St Margaret"	"Joseph Dell"	"Joseph"	"Dell"	"m"	"accidental"	"fell from a cart"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140072"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140081"	"WACWIC652140082"	"1774-02-15"	"St Paul Covent Garden"	"Unnamed man"	""	""	"m"	"natural causes"	"died suddenly"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140081"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140090"	"WACWIC652140091"	"1774-02-21"	"St George Hanover Square"	"Mary Cook"	"Mary"	"Cook"	"f"	"natural causes"	"found dead"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140090"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140097"	"WACWIC652140098"	"1774-02-21"	"St George Hanover Square"	"John Smith"	"John"	"Smith"	"m"	"accidental"	"run over by a cart"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140097"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140106"	"WACWIC652140107"	"1774-02-22"	"St Martin in the Fields"	"- Bright"	"-"	"Bright"	"m"	"natural causes"	"found dead"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140106"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140115"	"WACWIC652140116"	"1774-03-01"	"St George Hanover Square"	"Elizabeth Mobbes"	"Elizabeth"	"Mobbes"	"f"	"suicide (insane)"	"drowned herself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140115"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140124"	"WACWIC652140125"	"1774-03-02"	"St George Hanover Square"	"Mary Burchell"	"Mary"	"Burchell"	"f"	"accidental"	"blood vessel in the brain ruptured in a coughing fit"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140124"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140132"	"WACWIC652140133"	"1774-03-07"	"St George Hanover Square"	"James Claxton"	"James"	"Claxton"	"m"	"suicide (delirious)"	"cut his throat"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140132"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140141"	"WACWIC652140142"	"1774-03-08"	"St Anne Soho"	"Paul Garron"	"Paul"	"Garron"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140141"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140150"	"WACWIC652140151"	"1774-03-09"	"St George Hanover Square"	"David Miller"	"David"	"Miller"	"m"	"suicide (insane)"	"cut his throat"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140150"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140159"	"WACWIC652140160"	"1774-03-21"	"St James"	"Unnamed woman"	""	""	"f"	"accidental"	"intoxication"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140159"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140168"	"WACWIC652140169"	"1774-03-29"	"St Martin in the Fields"	"Joseph Beck"	"Joseph"	"Beck"	"m"	"accidental"	"trodden on by a horse"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140168"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140178"	"WACWIC652140179"	"1774-04-02"	"St Margaret"	"Joseph Bentley"	"Joseph"	"Bentley"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140178"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140186"	"WACWIC652140187"	"1774-04-04"	"St George Hanover Square"	"Elizabeth Stack"	"Elizabeth"	"Stack"	"f"	"undetermined"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140186"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140196"	"WACWIC652140197"	"1774-04-14"	"St George Hanover Square"	"Robert Oulton"	"Robert"	"Oulton"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140196"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140206"	"WACWIC652140207"	"1774-04-15"	"St Margaret"	"David Broker"	"David"	"Broker"	"m"	"natural causes"	"found dead"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140206"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140211"	"WACWIC652140212"	"1774-04-15"	"St Margaret"	"Daniel Delany"	"Daniel"	"Delany"	"m"	"accidental"	"fell off a scaffold"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140211"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140220"	"WACWIC652140221"	"1774-04-21"	"St George Hanover Square"	"Mary Tapperell"	"Mary"	"Tapperell"	"f"	"suicide (insane)"	"cut her throat"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140220"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140229"	"WACWIC652140230"	"1774-05-06"	"St Margaret"	"James Kelly"	"James"	"Kelly"	"m"	"accidental"	"a loose brick fell off a building on his head"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140229"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140237"	"WACWIC652140238"	"1774-05-07"	"St James"	"John Harrison"	"John"	"Harrison"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140237"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140246"	"WACWIC652140247"	"1774-05-12"	"St James"	"William Farmer"	"William"	"Farmer"	"m"	"natural causes"	"excessive drinking"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140246"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140258"	"WACWIC652140259"	"1774-05-23"	"St Margaret"	"Ann Roach"	"Ann"	"Roach"	"f"	"accidental"	"fell out of a window"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140258"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140269"	"WACWIC652140270"	"1774-06-04"	"St George Hanover Square"	"Jane Turner"	"Jane"	"Turner"	"f"	"homicide"	"strangled"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140269"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140279"	"WACWIC652140280"	"1774-06-06"	"St Margaret"	"William Barron"	"William"	"Barron"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140279"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140288"	"WACWIC652140289"	"1774-06-07"	"St George Hanover Square"	"Zephaniah Collins"	"Zephaniah"	"Collins"	"m"	"accidental"	"fell down and was run over by a chariot"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140288"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140296"	"WACWIC652140297"	"1774-06-22"	"St George Hanover Square"	"Daniel Palmer Stokes"	"Daniel Palmer"	"Stokes"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140296"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140305"	"WACWIC652140306"	"1774-06-23"	"St Anne Soho"	"Mary Kirkwood"	"Mary"	"Kirkwood"	"f"	"accidental"	"fell, broke her nose, loss of blood"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140305"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140316"	"WACWIC652140317"	"1774-06-25"	"St Margaret"	"John Parke"	"John"	"Parke"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140316"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140325"	"WACWIC652140326"	"1774-07-04"	"St John the Evangelist"	"Samuel Golding"	"Samuel"	"Golding"	"m"	"accidental"	"struck by a cart"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140325"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140333"	"WACWIC652140334"	"1774-07-26"	"St Anne Soho"	"Thomas Andrews"	"Thomas"	"Andrews"	"m"	"accidental"	"fell from a scaffold"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140333"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140342"	"WACWIC652140343"	"1774-08-01"	"St Anne Soho"	"William Green"	"William"	"Green"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140342"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140350"	"WACWIC652140351"	"1774-08-03"	"St John the Evangelist"	"Edward Padget"	"Edward"	"Padget"	"m"	"accidental"	"wounded by a shot from a cannon"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140350"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140359"	"WACWIC652140360"	"1774-08-22"	"St George Hanover Square"	"Patrick Cullen"	"Patrick"	"Cullen"	"m"	"suicide (insane)"	"cut his throat"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140359"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140371"	"WACWIC652140372"	"1774-09-08"	"St James"	"William Landon"	"William"	"Landon"	"m"	"accidental"	"fell out of a chaise"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140371"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140381"	"WACWIC652140382"	"1774-09-09"	"St Martin in the Fields"	"Robert Lesley"	"Robert"	"Lesley"	"m"	"accidental"	"fell off a horse"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140381"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140390"	"WACWIC652140391"	"1774-09-12"	"St Margaret"	"Sarah Knight"	"Sarah"	"Knight"	"f"	"suicide (insane)"	"hanged herself"	"prisoner, parish watch house"	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140390"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140400"	"WACWIC652140401"	"1774-09-13"	"St Margaret"	"Roger Hall"	"Roger"	"Hall"	"m"	"suicide (insane)"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140400"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140407"	"WACWIC652140408"	"1774-09-15"	"St Margaret"	"Elizabeth Morris"	"Elizabeth"	"Morris"	"f"	"accidental"	"fell down and was run over by a wagon"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140407"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140414"	"WACWIC652140415"	"1774-09-16"	"St Clement Danes"	"Unnamed female child"	""	""	"f"	"homicide"	"suffocated"	"new born child"	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140414"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140419"	"WACWIC652140420"	"1774-09-19"	"St John the Evangelist"	"Edmund Smith"	"Edmund"	"Smith"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140419"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140428"	"WACWIC652140429"	"1774-09-19"	"St George Hanover Square"	"Jessamy Wade"	"Jessamy"	"Wade"	"f"	"natural causes"	""	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140428"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140437"	"WACWIC652140438"	"1774-10-13"	"St John the Evangelist"	"Sarah Reeves"	"Sarah"	"Reeves"	"f"	"suicide (insane)"	"hanged herself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140437"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140448"	"WACWIC652140449"	"1774-10-15"	"St James"	"Sarah Dwyer"	"Sarah"	"Dwyer"	"f"	"accidental"	"fell down stairs"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140448"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140459"	"WACWIC652140460"	"1774-10-17"	"St George Hanover Square"	"Bridget Plunket"	"Bridget"	"Plunket"	"f"	"homicide"	"thrown against a wooden chest"	""	""	"https://www.londonlives.org/browse.jsp?div=WACWIC652140459"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140470"	"WACWIC652140471"	"1774-10-24"	"St Martin in the Fields"	"Sarah Lewis"	"Sarah"	"Lewis"	"f"	"natural causes"	"died suddenly"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140470"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140478"	"WACWIC652140479"	"1774-10-27"	"St James"	"Robert Willsworth"	"Robert"	"Willsworth"	"m"	"natural causes"	""	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140478"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140486"	"WACWIC652140487"	"1774-11-16"	"St George Hanover Square"	"Ann Tompson"	"Ann"	"Tompson"	"f"	"accidental"	"fell down stairs"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140486"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140494"	"WACWIC652140495"	"1774-12-01"	"St Margaret"	"Unnamed man"	""	""	"m"	"accidental"	"fell from a coach and was run over"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140494"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140503"	"WACWIC652140504"	"1774-12-05"	"St Anne Soho"	"Richard Hays"	"Richard"	"Hays"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140503"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140512"	"WACWIC652140513"	"1774-12-05"	"St James"	"Jonathan Shute"	"Jonathan"	"Shute"	"m"	"suicide (insane)"	"hanged himself"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140512"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140521"	"WACWIC652140522"	"1774-12-19"	"St George Hanover Square"	"Thomas Spencer"	"Thomas"	"Spencer"	"m"	"accidental"	"fell from a horse"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140521"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652140530"	"WACWIC652140531"	"1774-12-20"	"St John the Evangelist"	"Richard Cole"	"Richard"	"Cole"	"m"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652140530"	"WACWIC65214"	"Westminster Coroners' Inquests, 1774, Westminster Abbey Muniment Room"
"WACWIC652150002"	"WACWIC652150003"	"1775-01-02"	"St Margaret"	"Unnamed woman"	""	""	"f"	"accidental"	"drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652150002"	"WACWIC65215"	"Westminster Coroners' Inquests, 1775, Westminster Abbey Muniment Room"
"WACWIC652150009"	"WACWIC652150010"	"1775-01-03"	"St Margaret"	"Joseph Belshaw"	"Joseph"	"Belshaw"	"m"	"accidental"	"blow to the head"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652150009"	"WACWIC65215"	"Westminster Coroners' Inquests, 1775, Westminster Abbey Muniment Room"
"WACWIC652150019"	"WACWIC652150020"	"1775-01-16"	"St George Hanover Square"	"Unnamed man"	""	""	"m"	"undetermined"	"found drowned"	""	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652150019"	"WACWIC65215"	"Westminster Coroners' Inquests, 1775, Westminster Abbey Muniment Room"
"WACWIC652150027"	"WACWIC652150028"	"1775-01-21"	"St Clement Danes"	"Unnamed male child"	""	""	"m"	"homicide"	"strangled"	"new born child"	"y"	"https://www.londonlives.org/browse.jsp?div=WACWIC652150027"	"WACWIC65215"	"Westminster Coroners' Inquests, 1775, Westminster Abbey Muniment Room"
